id,performer
RR7eUSFsn28,Krystian Zimmerman
nW5po_Z7YEs,Arthur Rubinstein
taY5oHleS4I,Seong Cho
bvtdjIIcgWQ,Valentina Lisitsa
XhnRIuGZ_dc,Vladimir Horowitz
4Kcpu3JkJdU,Yundi Li
jKWkCKdDGVs,Arturo Michelangeli
4l1bs5hlnYk,Yuja Wang
Oju-e6sPvDw,Lang Lang
mF39XK6EVEk,Sviatoslav Richter
OmN_uWRaxuQ,Aimi Kobayashi
yt2Dmg4ebh8,Evgeny Kissin
upQ911nlCzw,Helene Grimaud
N76cJqdjUjA,Tiffany Poon
89G2xDbXhKQ,Paul Barton
QmXKj2dNmtw,Josh Wright
F63MSrdYx5w,Tzvi Erez
R6IMAB5Awoo,Yulianna Avdeeva
lZNvkL2yMVw,Alexei Volodin
bxDXOxt3CCs,Julijana Sarac
ecC7fjnFiuk,Olga Scheps
_9GBjQyvtAM,Alfred Cortot
abKwrqzALKo,Umi Garrett
cRvEIGgt07c,Bernd Glemser
n_zM49emRoE,Ivan Moravec
b-i3GpuHS9Y,Maurizio Pollini
UX6PXkqOr0Y,Josef Hofmann
VCTZNKMNH8A,Stanislav Neuhaus
_EWl_DncXLY,Youri Egorov
9_wwEnHTjbU,Melanie Thompson
h3unfGGG74M,Nicolas Ejzenberg
xxCTtGiITK4,Adam Gyorgy
vG6LYimcU0o,Dong Lim
d_UEZiNbMAQ,Jean Muller
tb2jInV7TRw,Shuan Lee
a0kr_VcKESk,Massimiliano Ferrati
ODKH0rna5ys,Claudio Arrau
Vwu4vtSOQdo,Mikhail Pletnev
z-TAbFCwepM,JJ Bui
UdyRkC1mYTs,HJ Lim
CfpCBnkmGow,Samson Francois
iVCx6kJMqGM,Jun Asai
jiQaLu0icd4,Alexander Kobrin
z1REqVu0wCg,Horacio Lavandera
74vH8fBGnKs,Witold Malcuzynski
Tul7fudb7DY,Miren Baruthio
COohl5ZtcVE,Leopold Godowsky
JB2x4vktAOY,Friedrich Gulda
GyJ12yfEjxk,Richard Blumenfeld
uhw-jS8O9Qo,Vladimir Sofronitsky
JIQagJ9T5UM,Tomoki Sakata
zBzkebcT_bE,Rachel Su
jPDUdjDifBk,Emil Gilels
DJY4TdI5qtk,Vlado Perlemuter
HKxE6iY8VoI,Maria Grinberg
2mwXvNKC88k,Cecile Licad
vckC0BlKgV4,Ioannis Petrakis
FVHT7ZuTtqo,Christy Cheung
VFUJCgrrfQ8,Laura Magnani
