id,song
xFrGuyw1V8s,Dancing Queen
-crgQGdpZR0,Take a Chance on Me
unfzfe8f9NI,Mamma Mia
cvChjHcABPA,SOS
dQsjAbZDx-4,Fernando
92cwKCU8Z5c,The Winner Takes It All
za05HBtGsgU,Voulez-Vous
BshxCIjNEjY,Super Trouper
3Uo0JAUWijM,Happy New Year
iUrzicaiRLU,Knowing Me Knowing You
Sj_9CiNkkn4,Waterloo
WkL7Fkigfn8,Does Your Mother Know
_d5dPYHi17k,Summer Night City
IIKAe8Wi0S0,One of Us
1HnOFwqpLRQ,The Day Before You Came
0dcbw4IEY5w,Thank You for the Music
iJ90ZqH0PWI,The Name of the Game
TL0EoXdpOqg,Ring Ring
tW3HN_pvbE4,I Do I Do I Do I Do I Do
ETxmCCsMoD0,Money Money Money
dDI7x1nwTUw,Eagle
pL2_PZwKDPg,Head Over Heels
tUh4u-lYEhM,When All Is Said and Done
PyxBYbfu6k8,On and On and On
_CsJCa2TlXU,Bang-A-Boomerang
YihxpsmH3cQ,Felicidad
rAYB46Z_osM,Under Attack
sw_fuu9jIOc,One Man One Woman
jlC3otqX8bc,Estoy Soñando
mP_dk429rbc,That's Me
ZL93BV9uTAM,Gimme Gimme Gimme
pO7ubf4h8sk,People Need Love
PpAYTGtoR1g,He Is Your Brother
8-9weyisphc,Love Isn't Easy (But It Sure Is Hard Enough)
Rnz-qwt8hE4,Nina Pretty Ballerina
wCDwOuuGprg,Another Town Another Train
Qmg5VUMcTn8,Honey Honey
PrQSJ8z3dZg,Hasta Mañana
92OC0ubJ4CY,King Kong Song
lIueevl71cA,So Long
fZ7C127Q-GY,I've Been Waiting for You
xyImJhdqTlc,Rock Me
yiJMln3q7GU,Chiquitita
3w7wFDCZa5o,Angeleyes
_HMjOiHqE18,I Have a Dream
gIQ98ZOulSo,Lay All Your Love on Me
JVQWo6g-dRQ,Hej Gamle Man
osn7frBAmfE,Tänk Om Jorden Vore Ung
JtuVr7dgewA,She's My Kind of Girl
CUqF87eNlGI,Det Kän Inger Doktor Hjälpa
Nyebqzm8GBU,Get on The Carousel
bn0U3K7dNqg,Love Has Its Ways
1-PkHJzNXWY,En Sång Och en Saga
gngaC_nEPbs,En Hälsning till Vara Parkarrangörer
nPrkyBa0j7s,Rock 'n' Roll Band
z1ZxjJc2KRE,I Am Just a Girl
dsk5Qz5oEWo,Slipping Through My Fingers
EvVngDm7IG8,Gonna Sing You My Love Song
6PLf7cP2bkM,Dum Dum Diddle
xxv2vF9S0bY,As Good As New
wdmaNhSNejk,Sång Till Görel
ODpYVFpCw0w,Hovas Vittne
1zwbARWt8is,Andante Andante
6qmzmD4POMk,No Hay a Quien Culpar
Mggp_eH4ufU,Se Me Está Escapando
A1PkIOWkHY0,¡Dame! ¡Dame! ¡Dame!
KoyNlVQbUPc,Our Last Summer
d3VjTcYYdRw,The Way Old Friends Do
GeYs7cWxsHg,Dream World
jg5Mr8M-e5M,Just Like That
wU6-vblQ_u0,Put on Your White Sombrero
wydPIAxuXdw,When I Kissed the Teacher
wWQ7wrPyUe0,Tiger
OCsAQ5unwOE,Conociéndome Conociéndote
do1EGAs_UNQ,Gracias Por La Musica
Sfp__9vjpxo,En Karusell
509nNNOJXB0,What About Livingstone
PMVbERJMBkU,Hamlet II
wBRwdRNFpH8,Hamlet III
z2SQhnOxqiU,Cassandra
VHRfX66OGZA,Crazy World
7mrmKwFE1wY,Dance (While The Music Still Goes On)
QNJBvfkL0s0,Disillusion
bVdKhaTBN7M,Elaine
wWsXwFOFv9k,From a Twinkling Star To A Passing Angel
353npO6ZJP0,Happy Hawaii
aA_1BA2MrBI,Hey Hey Helen
gCqfhlFoDLY,Hole in Your Sole
FsznMjw-BsI,I Am the City
Nyfvl5L6JNU,I Let the Music Speak
Qt0ISwSa7dU,I Saw It in the Mirror
-zKKSNaRbaU,I Wonder (Departure)
7100pNJk19U,If It Wasn't for the Nights
xzkkrDYRGSU,I'm a Marionette
b6kShipYwCk,Intermezzo No. 1
c-REo5lTwns,Kisses of Fire
Za7ThH5x01k,Like an Angel Passing through My Room
wKRXUQw7gg4,Lovelight
rJwfNwWYMgk,Lovers (Live a Little Longer)
2vpns5pBFtw,Man in the Middle
dM5xO1qtmZE,Me and Bobby and Bobby's Brother
DTQ5kxuZ-Bg,Me and I
OkHGRI0uUvo,Pick a Bale of Cotton
rIaN-HRR92A,My Love My Life
92L6balksi8,My Mama Said
Q_uiKm7wsmI,Should I Laugh or Cry
FCGw-OfdMpA,Sitting in the Palmtree
QyRn_nh7ViM,Soldiers
UZnwHeSnOJc,Suzy-Hang-Around
Cd_ZkAiVwzI,The King Has Lost His Crown
se9_mYub334,Tropical Loveland
fCkbXFn4SpY,Two For The Price Of One
sbNjO4D1gcE,Watch Out
dNZtlLW19uM,Why Did It Have to Be Me?
CQy8D8APo9E,You Owe Me One
2_z_PRppxaA,Santa Rosa
eTw8HSJOt5E,Al Andar
Kc7b_cEE7ys,Move On
ZcVhyVRfJto,Reina del Baile
